,Study ID,Participant ID,Native,Designer,Test ID,Test type,Trial ID,Font,Sample,Category,Response,Correct,Seen,Foil,Response time,JoM,JoL,Date
74,Pilot,1,yes,Non-designer,1,lexical,3,sansforgetica,pieces,word,Sure word,1,,,1541,40,easy to read,19-03-2019 16:35
75,Pilot,1,yes,Non-designer,1,lexical,4,sansforgetica,sprairen,non-word,Probably non-word,0.6666666666666667,,,4110,40,easy to read,19-03-2019 16:35
76,Pilot,1,yes,Non-designer,1,lexical,5,sansforgetica,protbation,non-word,Probably non-word,0.6666666666666667,,,3288,40,easy to read,19-03-2019 16:35
77,Pilot,1,yes,Non-designer,1,lexical,6,sansforgetica,exactly,word,Sure word,1,,,1997,40,easy to read,19-03-2019 16:35
78,Pilot,1,yes,Non-designer,1,lexical,7,sansforgetica,expedintly,non-word,Probably word,0.33333333333333337,,,3771,40,easy to read,19-03-2019 16:35
79,Pilot,1,yes,Non-designer,1,lexical,8,sansforgetica,sategontly,non-word,Probably non-word,0.6666666666666667,,,4236,40,easy to read,19-03-2019 16:35
80,Pilot,1,yes,Non-designer,1,lexical,9,sansforgetica,concern,word,Sure word,1,,,1757,40,easy to read,19-03-2019 16:35
81,Pilot,1,yes,Non-designer,1,lexical,10,sansforgetica,capable,word,Sure word,1,,,1210,40,easy to read,19-03-2019 16:35
82,Pilot,1,yes,Non-designer,1,lexical,11,sansforgetica,morence,non-word,Probably word,0.33333333333333337,,,2380,40,easy to read,19-03-2019 16:35
83,Pilot,1,yes,Non-designer,1,lexical,12,sansforgetica,undouring,non-word,Sure non-word,1,,,4086,40,easy to read,19-03-2019 16:35
84,Pilot,1,yes,Non-designer,1,lexical,13,sansforgetica,requinest,non-word,Sure non-word,1,,,1711,40,easy to read,19-03-2019 16:35
85,Pilot,1,yes,Non-designer,1,lexical,14,sansforgetica,argument,word,Sure word,1,,,1902,40,easy to read,19-03-2019 16:35
86,Pilot,1,yes,Non-designer,1,lexical,15,sansforgetica,fight,word,Sure word,1,,,1306,40,easy to read,19-03-2019 16:35
87,Pilot,1,yes,Non-designer,1,lexical,16,sansforgetica,equipmely,non-word,Probably non-word,0.6666666666666667,,,5394,40,easy to read,19-03-2019 16:35
88,Pilot,1,yes,Non-designer,1,lexical,17,sansforgetica,phone,word,Sure word,1,,,2186,40,easy to read,19-03-2019 16:35
89,Pilot,1,yes,Non-designer,1,lexical,18,sansforgetica,learn,word,Sure word,1,,,1196,40,easy to read,19-03-2019 16:35
90,Pilot,1,yes,Non-designer,1,lexical,19,sansforgetica,perietail,non-word,Probably word,0.33333333333333337,,,3147,40,easy to read,19-03-2019 16:35
91,Pilot,1,yes,Non-designer,1,lexical,20,sansforgetica,compereness,non-word,Probably word,0.33333333333333337,,,2871,40,easy to read,19-03-2019 16:35
92,Pilot,1,yes,Non-designer,1,recognition,1,sansforgetica,requinest,non-word,Sure seen,1,seen,requinest,2476,40,easy to read,19-03-2019 16:35
93,Pilot,1,yes,Non-designer,1,recognition,2,sansforgetica,undublisted,non-word,Sure not seen,1,non-seen,undouring,2857,40,easy to read,19-03-2019 16:35
94,Pilot,1,yes,Non-designer,1,recognition,3,sansforgetica,sategontly,non-word,Sure seen,1,seen,sategontly,2341,40,easy to read,19-03-2019 16:35
95,Pilot,1,yes,Non-designer,1,recognition,4,sansforgetica,equipmely,non-word,Sure seen,1,seen,equipmely,1552,40,easy to read,19-03-2019 16:35
96,Pilot,1,yes,Non-designer,1,recognition,5,sansforgetica,experaties,non-word,Sure not seen,1,non-seen,expedintly,2583,40,easy to read,19-03-2019 16:35
97,Pilot,1,yes,Non-designer,1,recognition,6,sansforgetica,concern,word,Sure seen,1,seen,concern,1606,40,easy to read,19-03-2019 16:35
98,Pilot,1,yes,Non-designer,1,recognition,7,sansforgetica,capable,word,Sure seen,1,seen,capable,1170,40,easy to read,19-03-2019 16:35
99,Pilot,1,yes,Non-designer,1,recognition,8,sansforgetica,fight,word,Sure seen,1,seen,fight,1235,40,easy to read,19-03-2019 16:35
100,Pilot,1,yes,Non-designer,1,recognition,9,sansforgetica,carefully,word,Sure seen,1,seen,carefully,1202,40,easy to read,19-03-2019 16:35
101,Pilot,1,yes,Non-designer,1,recognition,10,sansforgetica,morence,non-word,Sure seen,1,seen,morence,1549,40,easy to read,19-03-2019 16:35
102,Pilot,1,yes,Non-designer,1,recognition,11,sansforgetica,sprikelf,non-word,Probably not seen,0.6666666666666667,non-seen,sprairen,2861,40,easy to read,19-03-2019 16:35
103,Pilot,1,yes,Non-designer,1,recognition,12,sansforgetica,example,word,Sure seen,0,non-seen,exactly,1556,40,easy to read,19-03-2019 16:35
104,Pilot,1,yes,Non-designer,1,recognition,13,sansforgetica,physical,word,Sure not seen,1,non-seen,phone,2194,40,easy to read,19-03-2019 16:35
105,Pilot,1,yes,Non-designer,1,recognition,14,sansforgetica,placed,word,Sure not seen,1,non-seen,pieces,1666,40,easy to read,19-03-2019 16:35
106,Pilot,1,yes,Non-designer,1,recognition,15,sansforgetica,protercial,non-word,Probably seen,0.33333333333333337,non-seen,protbation,2617,40,easy to read,19-03-2019 16:35
107,Pilot,1,yes,Non-designer,1,recognition,16,sansforgetica,learning,word,Probably seen,0.33333333333333337,non-seen,learn,2014,40,easy to read,19-03-2019 16:35
108,Pilot,1,yes,Non-designer,2,lexical,1,inputsans,battle,word,Sure word,1,,,2910,42,very easy to read,19-03-2019 16:35
109,Pilot,1,yes,Non-designer,2,lexical,2,inputsans,possecapped,non-word,Sure non-word,1,,,2848,42,very easy to read,19-03-2019 16:35
110,Pilot,1,yes,Non-designer,2,lexical,3,inputsans,steet,non-word,Sure non-word,1,,,2065,42,very easy to read,19-03-2019 16:35
111,Pilot,1,yes,Non-designer,2,lexical,4,inputsans,stood,word,Sure word,1,,,2040,42,very easy to read,19-03-2019 16:35
112,Pilot,1,yes,Non-designer,2,lexical,5,inputsans,hunwary,non-word,Probably non-word,0.6666666666666667,,,2168,42,very easy to read,19-03-2019 16:35
113,Pilot,1,yes,Non-designer,2,lexical,6,inputsans,contrimenty,non-word,Probably word,0.33333333333333337,,,3257,42,very easy to read,19-03-2019 16:35
114,Pilot,1,yes,Non-designer,2,lexical,7,inputsans,explaign,non-word,Sure non-word,1,,,1948,42,very easy to read,19-03-2019 16:35
115,Pilot,1,yes,Non-designer,2,lexical,8,inputsans,peoply,non-word,Sure non-word,1,,,1816,42,very easy to read,19-03-2019 16:35
116,Pilot,1,yes,Non-designer,2,lexical,9,inputsans,familiar,word,Sure word,1,,,1978,42,very easy to read,19-03-2019 16:35
117,Pilot,1,yes,Non-designer,2,lexical,10,inputsans,problems,word,Sure word,1,,,1514,42,very easy to read,19-03-2019 16:35
118,Pilot,1,yes,Non-designer,2,lexical,11,inputsans,successful,word,Sure word,1,,,1330,42,very easy to read,19-03-2019 16:35
119,Pilot,1,yes,Non-designer,2,lexical,12,inputsans,forced,word,Sure word,1,,,1318,42,very easy to read,19-03-2019 16:35
120,Pilot,1,yes,Non-designer,2,lexical,13,inputsans,apportuning,non-word,Sure word,0,,,1832,42,very easy to read,19-03-2019 16:35
121,Pilot,1,yes,Non-designer,2,lexical,14,inputsans,terms,word,Sure word,1,,,1104,42,very easy to read,19-03-2019 16:35
122,Pilot,1,yes,Non-designer,2,lexical,15,inputsans,dollars,word,Sure word,1,,,1317,42,very easy to read,19-03-2019 16:35
123,Pilot,1,yes,Non-designer,2,lexical,16,inputsans,fashing,non-word,Sure word,0,,,4082,42,very easy to read,19-03-2019 16:35
124,Pilot,1,yes,Non-designer,2,lexical,17,inputsans,thick,word,Sure word,1,,,1654,42,very easy to read,19-03-2019 16:35
125,Pilot,1,yes,Non-designer,2,lexical,18,inputsans,limited,word,Sure word,1,,,1153,42,very easy to read,19-03-2019 16:35
126,Pilot,1,yes,Non-designer,2,lexical,19,inputsans,gromish,non-word,Probably non-word,0.6666666666666667,,,1781,42,very easy to read,19-03-2019 16:35
127,Pilot,1,yes,Non-designer,2,lexical,20,inputsans,larms,non-word,Sure non-word,1,,,2338,42,very easy to read,19-03-2019 16:35
128,Pilot,1,yes,Non-designer,2,recognition,1,inputsans,explaign,non-word,Sure not seen,0,seen,explaign,3672,42,very easy to read,19-03-2019 16:35
129,Pilot,1,yes,Non-designer,2,recognition,2,inputsans,limited,word,Sure seen,1,seen,limited,1510,42,very easy to read,19-03-2019 16:35
130,Pilot,1,yes,Non-designer,2,recognition,3,inputsans,larms,non-word,Sure seen,1,seen,larms,1989,42,very easy to read,19-03-2019 16:35
131,Pilot,1,yes,Non-designer,2,recognition,4,inputsans,terrible,word,Sure not seen,1,non-seen,terms,2266,42,very easy to read,19-03-2019 16:35
132,Pilot,1,yes,Non-designer,2,recognition,5,inputsans,successful,word,Sure seen,1,seen,successful,1982,42,very easy to read,19-03-2019 16:35
133,Pilot,1,yes,Non-designer,2,recognition,6,inputsans,faterb,non-word,Sure not seen,1,non-seen,fashing,2009,42,very easy to read,19-03-2019 16:35
134,Pilot,1,yes,Non-designer,2,recognition,7,inputsans,familiar,word,Sure seen,1,seen,familiar,2618,42,very easy to read,19-03-2019 16:35
135,Pilot,1,yes,Non-designer,2,recognition,8,inputsans,doors,word,Sure not seen,1,non-seen,dollars,1726,42,very easy to read,19-03-2019 16:35
136,Pilot,1,yes,Non-designer,2,recognition,9,inputsans,appresses,non-word,Sure not seen,1,non-seen,apportuning,1623,42,very easy to read,19-03-2019 16:35
