,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date
48,1,134,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,0.9,2403.75,7.70481324351275,1811.2,2996.3,7.481505837006713,7.928120650018788,0.9,,,50.0,38,12-04-2019 05:45
49,1,134,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,0.9375,2205.75,7.64247314629323,1973.0,2438.5,7.528223388206175,7.756722904380285,1.0,1.0,1.0,50.0,38,12-04-2019 05:45
50,1,134,2,lexical,1,sansforgetica,True,Non-designer,False,arial,1.0,2252.15,7.612708388178436,1986.0,2518.3,7.457518150275368,7.7678986260815055,1.0,,,100.0,55,12-04-2019 05:45
51,1,134,2,recognition,2,sansforgetica,True,Non-designer,False,arial,1.0,1959.4375,7.534838333308645,1680.25,2238.625,7.392872263916896,7.676804402700394,1.0,1.0,1.0,100.0,55,12-04-2019 05:45
52,1,135,1,lexical,1,arial,True,Non-designer,False,arial,0.75,3278.9,7.817873976622245,1408.9,5148.9,7.239256827587906,8.396491125656585,0.9,,,100.0,77,12-04-2019 03:38
53,1,135,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,2900.125,7.862049691280076,2326.125,3474.125,7.7131147564683085,8.010984626091842,0.9375,0.875,1.0,100.0,77,12-04-2019 03:38
54,1,135,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.9,4224.85,8.076338294964778,1773.9,6675.8,7.453583097793181,8.699093492136376,0.9999999999999999,,,50.0,82,12-04-2019 03:38
55,1,135,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.9375,2476.125,7.784660946720482,2200.5,2751.75,7.681957590675845,7.887364302765119,0.9296875,1.0,0.84375,50.0,82,12-04-2019 03:38
56,1,136,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2942.45,7.919380661196027,2508.4,3376.5,7.75026975200645,8.088491570385601,1.0,,,25.0,71,12-04-2019 03:11
57,1,136,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2102.6875,7.58347554314437,1845.25,2360.125,7.499715480151915,7.667235606136823,1.0,1.0,1.0,25.0,71,12-04-2019 03:11
58,1,136,2,lexical,1,sansforgetica,True,Non-designer,False,arial,1.0,2470.7,7.688763016100398,2367.3,2574.1,7.564586851472765,7.812939180728028,1.0,,,100.0,78,12-04-2019 03:11
59,1,136,2,recognition,2,sansforgetica,True,Non-designer,False,arial,0.8125,2494.3125,7.614017295681544,3183.5,1805.125,7.748833894069522,7.479200697293564,0.84375,0.65625,1.0,100.0,78,12-04-2019 03:11
60,1,137,1,lexical,1,arial,True,Non-designer,False,arial,0.95,2987.2,7.866974037599212,1801.7,4172.7,7.484068289607021,8.249879785591402,1.0,,,100.0,62,12-04-2019 03:05
61,1,137,1,recognition,2,arial,True,Non-designer,False,arial,1.0,2624.4375,7.803172236229681,2869.25,2379.625,7.8466708979449775,7.759673574514385,1.0,1.0,1.0,100.0,62,12-04-2019 03:05
62,1,137,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,3392.8,7.961992663273125,1820.9,4964.7,7.480876293376824,8.44310903316943,1.0,,,25.0,64,12-04-2019 03:05
63,1,137,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.75,2708.0625,7.866622080340518,2647.5,2768.625,7.834929047438173,7.898315113242862,0.8125,0.65625,0.96875,25.0,64,12-04-2019 03:05
64,1,138,1,lexical,1,arial,True,Non-designer,False,arial,0.85,2790.15,7.868697380293682,2027.2,3553.1,7.603594423028737,8.133800337558624,1.0,,,100.0,50,12-04-2019 00:22
65,1,138,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,2825.625,7.896485294230933,2637.125,3014.125,7.845409396572094,7.947561191889771,0.9375,1.0,0.875,100.0,50,12-04-2019 00:22
66,1,138,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.8,2780.05,7.7993559681158136,1702.6,3857.5,7.4187447377090905,8.179967198522535,0.9,,,75.0,50,12-04-2019 00:22
67,1,138,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.875,2763.25,7.876719192414301,2602.625,2923.875,7.81851913946171,7.934919245366894,0.9140625,0.78125,1.0,75.0,50,12-04-2019 00:22
68,1,139,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,0.95,8633.9,8.788113242276749,3627.4,13640.4,8.149451479926586,9.426775004626915,1.0,,,75.0,64,12-04-2019 00:11
