,StudyID,ParticipantID,TestID,Type,TaskID,Order,Ordertype,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
35,1,8,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.8125,1912.69921875,7.479883333181537,,2226.375,,7.708129981258949,0.8359375,0.75,0.9375,25.0,50,28-04-2019 16:32,2.3075337272845404,2.245927859731928,2.0943951023931953,2.6362321433056364
36,1,9,1,lexical,1,1.0,,arial,True,Graphic designer,True,arial,0.55,2549.3537499999998,7.67884011722546,,,,,0.7999999999999999,,,100.0,50,27-04-2019 16:14,2.214297435588181,1.6709637479564565,,
37,1,9,1,recognition,2,2.0,,arial,True,Graphic designer,True,arial,0.5,2091.666015625,7.552301095883371,,2800.33203125,,7.9374932717222215,0.4375,0.5,0.375,100.0,50,27-04-2019 16:14,1.4454684956268313,1.5707963267948968,1.5707963267948968,1.3181160716528177
38,1,9,2,lexical,3,1.0,,arial,True,Graphic designer,True,sansforgetica,0.6,2797.95,7.774321281379747,,,,,0.9500000000000001,,,50.0,50,27-04-2019 16:14,2.690565841793531,1.7721542475852274,,
39,1,9,2,recognition,4,2.0,,arial,True,Graphic designer,True,sansforgetica,0.5,2120.5625,7.622047030600677,,2508.0,,7.827240901752812,0.5,0.5,0.5,50.0,50,27-04-2019 16:14,1.5707963267948968,1.5707963267948968,1.5707963267948968,1.5707963267948968
40,1,10,1,lexical,1,1.0,,arial,True,Graphic designer,True,arial,0.8,2824.88875,7.853832640734683,,,,,0.88,,,100.0,71,27-04-2019 14:03,2.4341094418104503,2.214297435588181,,
41,1,10,1,recognition,2,2.0,,arial,True,Graphic designer,True,arial,0.875,2845.125,7.775520173714375,,2795.125,,7.93563210730831,0.90625,0.75,1.0,100.0,71,27-04-2019 14:03,2.519224165034773,2.4188584057763776,2.0943951023931953,3.141592653589793
42,1,10,2,lexical,3,1.0,,arial,True,Graphic designer,True,sansforgetica,0.95,3049.35,7.871307217890198,,,,,1.0,,,50.0,54,27-04-2019 14:03,3.141592653589793,2.6905658417935303,,
43,1,10,2,recognition,4,2.0,,arial,True,Graphic designer,True,sansforgetica,0.625,3850.859375,8.117985514731417,,3806.34375,,8.244424361696753,0.703125,0.9375,0.625,50.0,54,27-04-2019 14:03,1.9891427132383648,1.8234765819369754,2.6362321433056364,1.8234765819369754
44,1,11,1,lexical,1,1.0,,arial,True,Letter designer,True,arial,1.0,2852.0,7.833037472879893,,,,,1.0,,,100.0,40,12-04-2019 06:47,3.141592653589793,3.141592653589793,,
45,1,11,1,recognition,2,2.0,,arial,True,Letter designer,True,arial,0.8125,2084.06640625,7.589806844583303,,2012.75,,7.60725722518009,0.8671875,0.8125,0.90625,100.0,40,12-04-2019 06:47,2.3955417299803723,2.245927859731928,2.245927859731928,2.519224165034773
46,1,11,2,lexical,3,1.0,,arial,True,Letter designer,True,sansforgetica,1.0,2489.68125,7.714374827999531,,,,,1.0,,,25.0,34,12-04-2019 06:47,3.141592653589793,3.141592653589793,,
47,1,11,2,recognition,4,2.0,,arial,True,Letter designer,True,sansforgetica,0.9375,2275.0,7.682586057221381,,2250.375,,7.7188521479777865,0.96875,0.90625,1.0,25.0,34,12-04-2019 06:47,2.7861714518995697,2.6362321433056364,2.519224165034773,3.141592653589793
48,1,12,1,lexical,1,1.0,,sansforgetica,True,Non-designer,False,sansforgetica,0.9,2227.7475,7.658757659989144,,,,,0.9,,,50.0,38,12-04-2019 05:45,2.498091544796509,2.498091544796509,,
49,1,12,1,recognition,2,2.0,,sansforgetica,True,Non-designer,False,sansforgetica,0.9375,2087.849609375,7.602166892433971,,2202.69921875,,7.6974388049117,1.0,1.0,1.0,50.0,38,12-04-2019 05:45,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
50,1,12,2,lexical,3,1.0,,sansforgetica,True,Non-designer,False,arial,1.0,2077.6974999999998,7.566918557530769,,,,,1.0,,,100.0,55,12-04-2019 05:45,3.141592653589793,3.141592653589793,,
51,1,12,2,recognition,4,2.0,,sansforgetica,True,Non-designer,False,arial,1.0,1959.4375,7.534838333308645,,2238.625,,7.713617117086904,1.0,1.0,1.0,100.0,55,12-04-2019 05:45,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
52,1,13,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,0.75,3278.9,7.817873976622245,,,,,0.9,,,100.0,77,12-04-2019 03:38,2.498091544796509,2.0943951023931953,,
53,1,13,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,0.9375,2309.9609375,7.7167105844156785,,2293.796875,,7.737963747561372,0.9375,0.875,1.0,100.0,77,12-04-2019 03:38,2.6362321433056364,2.6362321433056364,2.4188584057763776,3.141592653589793
54,1,13,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,0.9,3641.09375,8.005645119664486,,,,,0.9999999999999999,,,50.0,82,12-04-2019 03:38,3.1415926237874707,2.498091544796509,,
55,1,13,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.9375,2476.125,7.784660946720482,,2751.75,,7.919992351903501,0.9296875,1.0,0.84375,50.0,82,12-04-2019 03:38,2.604842476361082,2.6362321433056364,3.141592653589793,2.3288370922211326
56,1,14,1,lexical,1,1.0,,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2942.45,7.919380661196025,,,,,1.0,,,25.0,71,12-04-2019 03:11,3.141592653589793,3.141592653589793,,
57,1,14,1,recognition,2,2.0,,sansforgetica,True,Non-designer,False,sansforgetica,1.0,1921.40625,7.532462445448281,,1997.5625,,7.599682966262325,1.0,1.0,1.0,25.0,71,12-04-2019 03:11,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
58,1,14,2,lexical,3,1.0,,sansforgetica,True,Non-designer,False,arial,1.0,2158.52875,7.628964539382906,,,,,1.0,,,100.0,78,12-04-2019 03:11,3.141592653589793,3.141592653589793,,
59,1,14,2,recognition,4,2.0,,sansforgetica,True,Non-designer,False,arial,0.8125,1840.75,7.469409390154793,,1805.125,,7.498385120446729,0.84375,0.65625,1.0,100.0,78,12-04-2019 03:11,2.3288370922211326,2.245927859731928,1.8886200307227774,3.141592653589793
60,1,15,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,0.95,2987.2,7.866974037599212,,,,,1.0,,,100.0,62,12-04-2019 03:05,3.141592653589793,2.6905658417935303,,
61,1,15,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,1.0,2343.828125,7.741467350301991,,2379.625,,7.774698191225953,1.0,1.0,1.0,100.0,62,12-04-2019 03:05,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
62,1,15,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,1.0,3099.5,7.909822333039922,,,,,1.0,,,25.0,64,12-04-2019 03:05,3.141592653589793,3.141592653589793,,
63,1,15,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.75,2708.0625,7.866622080340518,,2768.625,,7.926106086047439,0.8125,0.65625,0.96875,25.0,64,12-04-2019 03:05,2.245927859731928,2.0943951023931953,1.8886200307227774,2.7861714518995697
64,1,16,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,0.85,2790.15,7.86869738029368,,,,,1.0,,,100.0,50,12-04-2019 00:22,3.141592653589793,2.34619382340565,,
65,1,16,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,0.9375,2546.3046875,7.823073902580658,,2455.484375,,7.806079322192916,0.9375,1.0,0.875,100.0,50,12-04-2019 00:22,2.6362321433056364,2.6362321433056364,3.141592653589793,2.4188584057763776
66,1,16,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,0.8,2573.555,7.753885508828844,,,,,0.9,,,75.0,50,12-04-2019 00:22,2.498091544796509,2.214297435588181,,
67,1,16,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.875,2602.77734375,7.835987554558251,,2602.9296875,,7.86439289252831,0.9140625,0.78125,1.0,75.0,50,12-04-2019 00:22,2.5465507307622497,2.4188584057763776,2.168202743440247,3.141592653589793
68,1,17,1,lexical,1,1.0,,sansforgetica,True,Non-designer,False,sansforgetica,0.95,7283.8175,8.70501030552431,,,,,1.0,,,75.0,64,12-04-2019 00:11,3.141592653589793,2.6905658417935303,,
69,1,17,1,recognition,2,2.0,,sansforgetica,True,Non-designer,False,sansforgetica,1.0,3389.1484375,8.068349794790345,,3952.046875,,8.281988919880412,1.0,1.0,1.0,75.0,64,12-04-2019 00:11,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
70,1,17,2,lexical,3,1.0,,sansforgetica,True,Non-designer,False,arial,1.0,4012.8,8.144124582239549,,,,,1.0,,,100.0,60,12-04-2019 00:11,3.141592653589793,3.141592653589793,,
71,1,17,2,recognition,4,2.0,,sansforgetica,True,Non-designer,False,arial,1.0,3319.5234375,8.023484959525566,,2679.75,,7.893478785571629,1.0,1.0,1.0,100.0,60,12-04-2019 00:11,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
72,1,18,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,0.75,3622.025,8.092602812247032,,,,,0.9,,,100.0,31,12-04-2019 00:06,2.498091544796509,2.0943951023931953,,
73,1,18,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,0.8125,4047.0625,8.206382658470421,,4320.25,,8.371068549934101,0.875,0.75,1.0,100.0,31,12-04-2019 00:06,2.4188584057763776,2.245927859731928,2.0943951023931953,3.141592653589793
74,1,18,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,0.85,3706.55,8.115886537681806,,,,,1.0,,,75.0,39,12-04-2019 00:06,3.141592653589793,2.34619382340565,,
