,ParticipantID,Type,TestID,TrialID,StudyID,Fluent,Training,Font,Sample,Category,Response,Correct,Seen,Foil,RT,RTnorm,JoM,JoL,Date
71,0,recognition,2,16,2,True,Non-designer,arial,concern,word,Probably seen,0.0,not seen,computer,1718.0,7.4489161025442,55,difficult to read,30-05-2019 14:46
72,1,lexical,1,1,2,True,Letter designer,arial,considere,non-word,Probably non-word,1.0,,,3116.5,8.044465856248905,80,very easy to read,30-05-2019 13:02
73,1,lexical,1,2,2,True,Letter designer,arial,today,word,Sure word,1.0,,,1975.0,7.5883236773352225,80,very easy to read,30-05-2019 13:02
74,1,lexical,1,3,2,True,Letter designer,arial,minglem,non-word,Probably word,0.0,,,4672.0,8.449342524508063,80,very easy to read,30-05-2019 13:02
75,1,lexical,1,4,2,True,Letter designer,arial,blace,non-word,Probably word,0.0,,,2533.0,7.8371596500016745,80,very easy to read,30-05-2019 13:02
76,1,lexical,1,5,2,True,Letter designer,arial,anyone,word,Sure word,1.0,,,1931.0,7.565793282428515,80,very easy to read,30-05-2019 13:02
77,1,lexical,1,6,2,True,Letter designer,arial,wesisty,non-word,Probably word,0.0,,,3044.0,8.020927718981577,80,very easy to read,30-05-2019 13:02
78,1,lexical,1,7,2,True,Letter designer,arial,exisonent,non-word,Sure non-word,1.0,,,2429.0,7.795234929002173,80,very easy to read,30-05-2019 13:02
79,1,lexical,1,8,2,True,Letter designer,arial,hoped,word,Sure word,1.0,,,2819.0,7.944137491114112,80,very easy to read,30-05-2019 13:02
80,1,lexical,1,9,2,True,Letter designer,arial,papers,word,Sure word,1.0,,,1421.0,7.2591161280971015,80,very easy to read,30-05-2019 13:02
81,1,lexical,1,10,2,True,Letter designer,arial,morking,non-word,Probably non-word,1.0,,,2604.0,7.8648040033284605,80,very easy to read,30-05-2019 13:02
82,1,lexical,1,11,2,True,Letter designer,arial,british,word,Sure word,1.0,,,1735.0,7.45876269238096,80,very easy to read,30-05-2019 13:02
83,1,lexical,1,12,2,True,Letter designer,arial,order,word,Sure word,1.0,,,1602.0,7.379008127628304,80,very easy to read,30-05-2019 13:02
84,1,lexical,1,13,2,True,Letter designer,arial,achieved,word,Sure word,1.0,,,1534.0,7.335633981927201,80,very easy to read,30-05-2019 13:02
85,1,lexical,1,14,2,True,Letter designer,arial,heaticipary,non-word,Probably word,0.0,,,4357.0,8.379539026117444,80,very easy to read,30-05-2019 13:02
86,1,lexical,1,15,2,True,Letter designer,arial,carrying,word,Sure word,1.0,,,1904.0,7.551712215351309,80,very easy to read,30-05-2019 13:02
87,1,lexical,1,16,2,True,Letter designer,arial,hopeasis,non-word,Probably non-word,1.0,,,2274.0,7.729295674310483,80,very easy to read,30-05-2019 13:02
