,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
58,1,136,2,lexical,1,sansforgetica,True,Non-designer,False,arial,1.0,2158.52875,7.628964539382904,1742.9575,2574.1,7.46333866197547,7.853255237440279,1.0,,,100.0,78,12-04-2019 03:11,3.141592653589793,3.141592653589793,,
59,1,136,2,recognition,2,sansforgetica,True,Non-designer,False,arial,0.8125,1840.75,7.469409390154792,1876.375,1805.125,7.537097002980341,7.498385120446729,0.84375,0.65625,1.0,100.0,78,12-04-2019 03:11,2.3288370922211326,2.245927859731928,1.8886200307227774,3.141592653589793
60,1,137,1,lexical,1,arial,True,Non-designer,False,arial,0.95,2987.2,7.866974037599212,1801.7,4172.7,7.496485942621654,8.336318587281195,1.0,,,100.0,62,12-04-2019 03:05,3.141592653589793,2.6905658417935303,,
61,1,137,1,recognition,2,arial,True,Non-designer,False,arial,1.0,2343.828125,7.741467350301991,2308.03125,2379.625,7.744150167397679,7.774698191225953,1.0,1.0,1.0,100.0,62,12-04-2019 03:05,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
62,1,137,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,3099.5,7.909822333039922,1820.9,4378.1,7.507086163337798,8.384370119302073,1.0,,,25.0,64,12-04-2019 03:05,3.141592653589793,3.141592653589793,,
63,1,137,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.75,2708.0625,7.866622080340518,2647.5,2768.625,7.881371077475562,7.926106086047439,0.8125,0.65625,0.96875,25.0,64,12-04-2019 03:05,2.245927859731928,2.0943951023931953,1.8886200307227774,2.7861714518995697
64,1,138,1,lexical,1,arial,True,Non-designer,False,arial,0.85,2790.15,7.868697380293682,2027.2,3553.1,7.614410809566874,8.175575740854342,1.0,,,100.0,50,12-04-2019 00:22,3.141592653589793,2.34619382340565,,
65,1,138,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,2546.3046875,7.823073902580658,2637.125,2455.484375,7.877444587580987,7.806079322192916,0.9375,1.0,0.875,100.0,50,12-04-2019 00:22,2.6362321433056364,2.6362321433056364,3.141592653589793,2.4188584057763776
66,1,138,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.8,2573.555,7.753885508828844,1702.6,3444.5099999999998,7.439911773449957,8.144536938208017,0.9,,,75.0,50,12-04-2019 00:22,2.498091544796509,2.214297435588181,,
67,1,138,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.875,2602.77734375,7.835987554558251,2602.625,2602.9296875,7.864275830075358,7.86439289252831,0.9140625,0.78125,1.0,75.0,50,12-04-2019 00:22,2.5465507307622497,2.4188584057763776,2.168202743440247,3.141592653589793
68,1,139,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,0.95,7283.8175,8.70501030552431,3627.4,10940.235,8.196271417183324,9.300202556549651,1.0,,,75.0,64,12-04-2019 00:11,3.141592653589793,2.6905658417935303,,
69,1,139,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,1.0,3389.1484375,8.068349794790345,2826.25,3952.046875,7.94670602359218,8.281988919880412,1.0,1.0,1.0,75.0,64,12-04-2019 00:11,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
70,1,139,2,lexical,1,sansforgetica,True,Non-designer,False,arial,1.0,4012.8,8.144124582239549,2355.2,5670.4,7.764380928534557,8.643014940970707,1.0,,,100.0,60,12-04-2019 00:11,3.141592653589793,3.141592653589793,,
71,1,139,2,recognition,2,sansforgetica,True,Non-designer,False,arial,1.0,3319.5234375,8.023484959525566,3959.296875,2679.75,8.283821731665267,7.893478785571629,1.0,1.0,1.0,100.0,60,12-04-2019 00:11,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
72,1,140,1,lexical,1,arial,True,Non-designer,False,arial,0.75,3622.025,8.092602812247032,2382.4,4861.65,7.775863661929745,8.4891331654482,0.9,,,100.0,31,12-04-2019 00:06,2.498091544796509,2.0943951023931953,,
73,1,140,1,recognition,2,arial,True,Non-designer,False,arial,0.8125,4047.0625,8.206382658470421,3773.875,4320.25,8.235857604023321,8.371068549934101,0.875,0.75,1.0,100.0,31,12-04-2019 00:06,2.4188584057763776,2.245927859731928,2.0943951023931953,3.141592653589793
74,1,140,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.85,3706.55,8.115886537681806,2526.0,4887.1,7.8343923029104365,8.494354359512203,1.0,,,75.0,39,12-04-2019 00:06,3.141592653589793,2.34619382340565,,
75,1,140,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.8125,2759.4765625,7.879405846022862,2447.578125,3071.375,7.802854294222087,8.029880623047864,0.8671875,0.84375,0.875,75.0,39,12-04-2019 00:06,2.3955417299803723,2.245927859731928,2.3288370922211326,2.4188584057763776
76,1,141,1,lexical,1,sansforgetica,True,Letter designer,True,sansforgetica,0.95,3021.9,7.912661819516697,1985.8,4058.0,7.5937771345994936,8.30844552038576,1.0,,,75.0,78,11-04-2019 23:49,3.141592653589793,2.6905658417935303,,
77,1,141,1,recognition,2,sansforgetica,True,Letter designer,True,sansforgetica,0.9375,2190.134765625,7.656387122284542,2274.14453125,2106.125,7.729359230448179,7.652605045158549,1.0,1.0,1.0,75.0,78,11-04-2019 23:49,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
78,1,141,2,lexical,1,sansforgetica,True,Letter designer,True,arial,0.6,2257.3112499999997,7.655132708679986,1805.1,2709.5225,7.498371270894416,7.904527699086841,1.0,,,50.0,70,11-04-2019 23:49,3.141592653589793,1.7721542475852274,,
79,1,141,2,recognition,2,sansforgetica,True,Letter designer,True,arial,0.6875,2409.322265625,7.6946080108934245,2405.375,2413.26953125,7.7854610955407235,7.788737759034832,0.8046875,0.65625,1.0,50.0,70,11-04-2019 23:49,2.2260684152958388,1.9551931012905357,1.8886200307227774,3.141592653589793
80,1,142,1,lexical,1,arial,True,Non-designer,False,arial,1.0,2032.7,7.602617278087839,1749.4,2316.0,7.467028150985755,7.7475968386928855,1.0,,,100.0,80,11-04-2019 22:04,3.141592653589793,3.141592653589793,,
